"EntityLogicalName";"FieldLogicalName";"PluginAction";"SciezkaPliku"
"account";"neu_activitystatus";"ClearClientCentralaction";"C:\Users\piotr.kowalczyk\source\repos\Neuca.Crm.Magellan\app\plugins\Neuca.Crm.Magellan.Accounts.Plugins\Actions\ClearClientCentralaction.cs"
"account";"neu_client";"CreateAccountTargetOnClientChange";"C:\Users\piotr.kowalczyk\source\repos\Neuca.Crm.Magellan\app\plugins\Neuca.Crm.Magellan.Accounts.Plugins\Actions\CreateAccountTargetOnClientChange.cs"
"account";"neu_client";"CreateAccountTargetOnClientChange";"C:\Users\piotr.kowalczyk\source\repos\Neuca.Crm.Magellan\app\plugins\Neuca.Crm.Magellan.Accounts.Plugins\Actions\CreateAccountTargetOnClientChange.cs"
"account";"neu_client";"CreateAccountTargetOnClientChange";"C:\Users\piotr.kowalczyk\source\repos\Neuca.Crm.Magellan\app\plugins\Neuca.Crm.Magellan.Accounts.Plugins\Actions\CreateAccountTargetOnClientChange.cs"
"account";"neu_lifecycle";"CreateNonCampaignTaskAction";"C:\Users\piotr.kowalczyk\source\repos\Neuca.Crm.Magellan\app\plugins\Neuca.Crm.Magellan.Accounts.Plugins\Actions\CreateNonCampaignTaskAction.cs"
"account";"attributes";"DeactivateOldClientIfLastAccountTakenAction";"C:\Users\piotr.kowalczyk\source\repos\Neuca.Crm.Magellan\app\plugins\Neuca.Crm.Magellan.Accounts.Plugins\Actions\DeactivateOldClientIfLastAccountTakenAction.cs"
"account";"neu_client";"DeactivateOldClientIfLastAccountTakenAction";"C:\Users\piotr.kowalczyk\source\repos\Neuca.Crm.Magellan\app\plugins\Neuca.Crm.Magellan.Accounts.Plugins\Actions\DeactivateOldClientIfLastAccountTakenAction.cs"
"account";"neu_licencestatus";"DeleteAccountTargetOnClosedLicenceStatus";"C:\Users\piotr.kowalczyk\source\repos\Neuca.Crm.Magellan\app\plugins\Neuca.Crm.Magellan.Accounts.Plugins\Actions\DeleteAccountTargetOnClosedLicenceStatus.cs"
"account";"neu_client";"ManageClientOpportunitiesAction";"C:\Users\piotr.kowalczyk\source\repos\Neuca.Crm.Magellan\app\plugins\Neuca.Crm.Magellan.Accounts.Plugins\Actions\ManageClientOpportunitiesAction.cs"
"account";"neu_client";"ManageClientOpportunitiesAction";"C:\Users\piotr.kowalczyk\source\repos\Neuca.Crm.Magellan\app\plugins\Neuca.Crm.Magellan.Accounts.Plugins\Actions\ManageClientOpportunitiesAction.cs"
