Obiekt;Kod_obiektu;Nr_4_3;Nazwa_pola;ID_pola;Lp_pola_w_obiekcie;W_systemie_D365;Uwagi;Obecne na formularzu;Bierze udzial w pluginach;Bierze udzial w js;Obowiazkowosc;Lookup – tabela docelowa
Adresacja produktow oferty cenowej;neu_quotedetailaddressing;4.3.1;Komórka;neu_cell;1;;;tak;NeuQuoteDetailAddressingService;;required;
Adresacja produktow oferty cenowej;neu_quotedetailaddressing;4.3.1;Właściciel;ownerid;2;;;tak;;;Obowiązkowe;
Adresacja produktow oferty cenowej;neu_quotedetailaddressing;4.3.1;Produkt oferty cenowej;neu_quotedetailid;3;;;nie;NeuQuoteDetailAddressingService;;Zwykłe;neu_quotedetail
Adresacja produktow oferty cenowej;neu_quotedetailaddressing;4.3.1;Oferta cenowa;neu_quoteid;4;;;nie;;;Zwykłe;neu_quote
Adresacja produktow oferty cenowej;neu_quotedetailaddressing;4.3.1;Arkusz;neu_sheet;5;;;nie;;;Zwykłe;
Adresacja produktow oferty cenowej;neu_quotedetailaddressing;4.3.1;Wartość;neu_value;6;;;nie;GenerateAddressingForXlsAction, NeuQuoteDetailAddressingService, UpdateGenerateQuoteFlagAction;;Zwykłe;
Beneficjent;neu_receiver;4.3.2;Nazwa;neu_name;1;;;tak;NeuReceiverService;;required;
Beneficjent;neu_receiver;4.3.2;Nazwa z pliku Excel;neu_namefromexcel;2;;;tak;;;Opcjonalne;
Beneficjent;neu_receiver;4.3.2;Kod SAP Przetargu;neu_tendersapcode;3;;;tak;NeuReceiverService;;Zwykłe;
Beneficjent;neu_receiver;4.3.2;Płatnik;neu_payerid;4;;;tak;;;Zwykłe;neu_payer
Beneficjent;neu_receiver;4.3.2;Punkt Sprzedaży;neu_accountid;5;;;tak;NeuReceiverService;;Zwykłe;
Beneficjent;neu_receiver;4.3.2;Przetarg;neu_opportunityid;6;;;tak;CreateReceiverAction, CreateReceiverHandler, NeuReceiverService;neu_receiver.js;required;
Beneficjent;neu_receiver;4.3.2;Dokumenty;;7;;;nie;;;;
Beneficjent;neu_receiver;4.3.2;Placówki;;8;;;nie;;;;
Beneficjent;neu_receiver;4.3.2;Utworzony przez;createdby;9;;;tak;;;Zwykłe;
Beneficjent;neu_receiver;4.3.2;Zmodyfikowane przez;modifiedby;10;;;tak;;;Zwykłe;
Beneficjent;neu_receiver;4.3.2;Właściciel;ownerid;11;;;tak;;;Obowiązkowe;
Beneficjent;neu_receiver;4.3.2;Data utworzenia;createdon;12;;;tak;;;Zwykłe;
Beneficjent;neu_receiver;4.3.2;Data modyfikacji;modifiedon;13;;;tak;;;Zwykłe;
Cennik producenta;neu_producerpricelist;4.3.3;Nazwa;neu_name;1;;;tak;;;required;
Cennik producenta;neu_producerpricelist;4.3.3;Typ;neu_typ;2;;;tak;NeuProducerPriceListService, UpdateProducerPriceListAction, UpdateProducerPriceListHandler;;required;
Cennik producenta;neu_producerpricelist;4.3.3;Data obowiązywania OD;neu_validitydatefrom;3;;;tak;CreateProducerPriceListAction, NeuProducerPriceListService, UpdateProducerPriceListAction, UpdateProducerPriceListHandler;;required;
Cennik producenta;neu_producerpricelist;4.3.3;Data obowiązywania DO;neu_validitydateto;4;;;tak;CreateProducerPriceListAction, NeuProducerPriceListService, UpdateProducerPriceListAction, UpdateProducerPriceListHandler;;required;
Cennik producenta;neu_producerpricelist;4.3.3;Numer oferty;neu_quotenumber;5;;;tak;NeuProducerPriceListService;;Zwykłe;
Cennik producenta;neu_producerpricelist;4.3.3;Producent;neu_producerid;6;;;tak;CreateProducerPriceListAction, NeuProducerPriceListService, UpdateProducerPriceListAction, UpdateProducerPriceListHandler;;required;neu_producer
Cennik producenta;neu_producerpricelist;4.3.3;Właściciel;ownerid;7;;;tak;;;Obowiązkowe;
