Obiekt;Kod_obiektu;Nr_4_3;Nazwa_pola;ID_pola;Lp_pola_w_obiekcie;W_systemie_D365;Uwagi
Adresacja produktow oferty cenowej;neu_quotedetailaddressing;4.3.1;Komórka;neu_cell;1;;
Adresacja produktow oferty cenowej;neu_quotedetailaddressing;4.3.1;Właściciel;ownerid;2;;
Adresacja produktow oferty cenowej;neu_quotedetailaddressing;4.3.1;Produkt oferty cenowej;neu_quotedetailid;3;;
Adresacja produktow oferty cenowej;neu_quotedetailaddressing;4.3.1;Oferta cenowa;neu_quoteid;4;;
Adresacja produktow oferty cenowej;neu_quotedetailaddressing;4.3.1;Arkusz;neu_sheet;5;;
Adresacja produktow oferty cenowej;neu_quotedetailaddressing;4.3.1;Wartość;neu_value;6;;
Beneficjent;neu_receiver;4.3.2;Nazwa;neu_name;1;;
Beneficjent;neu_receiver;4.3.2;Nazwa z pliku Excel;neu_namefromexcel;2;;
Beneficjent;neu_receiver;4.3.2;Kod SAP Przetargu;neu_tendersapcode;3;;
Beneficjent;neu_receiver;4.3.2;Płatnik;neu_payerid;4;;
Beneficjent;neu_receiver;4.3.2;Punkt Sprzedaży;neu_accountid;5;;
Beneficjent;neu_receiver;4.3.2;Przetarg;neu_opportunityid;6;;
Beneficjent;neu_receiver;4.3.2;Dokumenty;;7;;
Beneficjent;neu_receiver;4.3.2;Placówki;;8;;
Beneficjent;neu_receiver;4.3.2;Utworzony przez;createdby;9;;
Beneficjent;neu_receiver;4.3.2;Zmodyfikowane przez;modifiedby;10;;
Beneficjent;neu_receiver;4.3.2;Właściciel;ownerid;11;;
Beneficjent;neu_receiver;4.3.2;Data utworzenia;createdon;12;;
Beneficjent;neu_receiver;4.3.2;Data modyfikacji;modifiedon;13;;
Cennik producenta;neu_producerpricelist;4.3.3;Nazwa;neu_name;1;;
Cennik producenta;neu_producerpricelist;4.3.3;Typ;neu_typ;2;;
Cennik producenta;neu_producerpricelist;4.3.3;Data obowiązywania OD;neu_validitydatefrom;3;;
